"","stat_id","IP","date","team_key","year","stat_name","IP_round","ERA","WHIP","run_per_inning","run_per_out","wh_per_out","true_WHIP"
"75",50,8,16536,"346.l.49099.t.3",2015,"IP",8,0,1.12,0,0,0.373333333333333,1.08
"76",50,9,16536,"346.l.49099.t.4",2015,"IP",9,6,1.67,0.666666666666667,0.222222222222222,0.556666666666667,1.08
"77",50,10,16536,"346.l.49099.t.5",2015,"IP",10,3.6,1,0.4,0.133333333333333,0.333333333333333,1.08
"78",50,NA,16536,"346.l.49099.t.6",2015,"IP",22,2.49,1.25,0.276666666666667,0.0922222222222222,0.416666666666667,1.08
"79",50,2,16536,"346.l.49099.t.7",2015,"IP",2,4.5,2,0.5,0.166666666666667,0.666666666666667,1.08
"80",50,NA,16536,"346.l.49099.t.8",2015,"IP",12,3,1.17,0.333333333333333,0.111111111111111,0.39,1.08
"81",50,7.333,16536,"346.l.49099.t.9",2015,"IP",8,1.23,0.82,0.136666666666667,0.0455555555555556,0.273333333333333,1.08
"82",50,23,16536,"346.l.49099.t.10",2015,"IP",23,0.78,0.52,0.0866666666666667,0.0288888888888889,0.173333333333333,1.08
"83",50,3,16536,"346.l.49099.t.11",2015,"IP",3,9,2,1,0.333333333333333,0.666666666666667,1.08
"84",50,6,16536,"346.l.49099.t.12",2015,"IP",6,9,1.83,1,0.333333333333333,0.61,1.08
"85",50,9.667,16537,"346.l.49099.t.1",2015,"IP",10,4.66,1.55,0.517777777777778,0.172592592592593,0.516666666666667,1.08
"86",50,18,16537,"346.l.49099.t.2",2015,"IP",18,4,1.22,0.444444444444444,0.148148148148148,0.406666666666667,1.08
"87",50,10,16537,"346.l.49099.t.3",2015,"IP",10,6.3,1.5,0.7,0.233333333333333,0.5,1.08
"88",50,6.667,16537,"346.l.49099.t.4",2015,"IP",7,4.05,1.65,0.45,0.15,0.55,1.08
"89",50,8.333,16537,"346.l.49099.t.5",2015,"IP",9,7.56,1.32,0.84,0.28,0.44,1.08
"90",50,2.667,16537,"346.l.49099.t.6",2015,"IP",3,3.38,1.12,0.375555555555556,0.125185185185185,0.373333333333333,1.08
"91",50,15.667,16537,"346.l.49099.t.7",2015,"IP",16,8.62,1.85,0.957777777777778,0.319259259259259,0.616666666666667,1.08
"92",50,17.667,16537,"346.l.49099.t.8",2015,"IP",18,6.11,1.53,0.678888888888889,0.226296296296296,0.51,1.08
"93",50,8,16537,"346.l.49099.t.9",2015,"IP",8,7.88,1.5,0.875555555555556,0.291851851851852,0.5,1.08
"94",50,2,16537,"346.l.49099.t.10",2015,"IP",2,0,1.5,0,0,0.5,1.08
"95",50,7.333,16537,"346.l.49099.t.11",2015,"IP",8,2.45,0.95,0.272222222222222,0.0907407407407407,0.316666666666667,1.08
"96",50,NA,16537,"346.l.49099.t.12",2015,"IP",22,4.15,1.2,0.461111111111111,0.153703703703704,0.4,1.08
"97",50,5.333,16538,"346.l.49099.t.1",2015,"IP",6,11.81,2.25,1.31222222222222,0.437407407407407,0.75,1.08
"98",50,NA,16538,"346.l.49099.t.2",2015,"IP",22,2.95,0.89,0.327777777777778,0.109259259259259,0.296666666666667,1.08
"99",50,NA,16538,"346.l.49099.t.3",2015,"IP",13,4.26,1.03,0.473333333333333,0.157777777777778,0.343333333333333,1.08
"100",50,1,16538,"346.l.49099.t.4",2015,"IP",1,0,0,0,0,0,1.08
"101",50,9.667,16538,"346.l.49099.t.5",2015,"IP",10,0.93,0.83,0.103333333333333,0.0344444444444444,0.276666666666667,1.08
"102",50,7,16538,"346.l.49099.t.6",2015,"IP",7,0,1.14,0,0,0.38,1.08
"103",50,13,16538,"346.l.49099.t.7",2015,"IP",13,3.46,1.31,0.384444444444444,0.128148148148148,0.436666666666667,1.08
"104",50,14,16538,"346.l.49099.t.8",2015,"IP",14,2.57,1.36,0.285555555555556,0.0951851851851852,0.453333333333333,1.08
"105",50,NA,16538,"346.l.49099.t.9",2015,"IP",23,7.25,1.3,0.805555555555556,0.268518518518519,0.433333333333333,1.08
"106",50,NA,16538,"346.l.49099.t.10",2015,"IP",NA,NA,NA,NA,NA,NA,1.08
