stat_id,value,date,team_key,manager,stat_id,stat_name
26,-,2011-04-02,346.l.49099.t.6,Mike,26,ERA
27,-,2011-04-02,346.l.49099.t.6,Mike,27,WHIP
60,-,2011-04-02,346.l.49099.t.7,Edward Moser,60,AVG
7,-,2011-04-02,346.l.49099.t.7,Edward Moser,7,R
13,-,2011-04-02,346.l.49099.t.7,Edward Moser,13,RBI
16,-,2011-04-02,346.l.49099.t.7,Edward Moser,16,SB
23,-,2011-04-02,346.l.49099.t.7,Edward Moser,23,TB
4,-,2011-04-02,346.l.49099.t.7,Edward Moser,4,OBP
50,-,2011-04-02,346.l.49099.t.7,Edward Moser,50,IP
28,-,2011-04-02,346.l.49099.t.7,Edward Moser,28,W
32,-,2011-04-02,346.l.49099.t.7,Edward Moser,32,SV
42,-,2011-04-02,346.l.49099.t.7,Edward Moser,42,K
26,-,2011-04-02,346.l.49099.t.7,Edward Moser,26,ERA
27,-,2011-04-02,346.l.49099.t.7,Edward Moser,27,WHIP
60,-,2011-04-02,346.l.49099.t.8,alm,60,AVG
7,-,2011-04-02,346.l.49099.t.8,alm,7,R
13,-,2011-04-02,346.l.49099.t.8,alm,13,RBI
16,-,2011-04-02,346.l.49099.t.8,alm,16,SB
23,-,2011-04-02,346.l.49099.t.8,alm,23,TB
4,-,2011-04-02,346.l.49099.t.8,alm,4,OBP
50,-,2011-04-02,346.l.49099.t.8,alm,50,IP
28,-,2011-04-02,346.l.49099.t.8,alm,28,W
32,-,2011-04-02,346.l.49099.t.8,alm,32,SV
42,-,2011-04-02,346.l.49099.t.8,alm,42,K
26,-,2011-04-02,346.l.49099.t.8,alm,26,ERA
27,-,2011-04-02,346.l.49099.t.8,alm,27,WHIP
60,-,2011-04-02,346.l.49099.t.9,Andrew,60,AVG
7,-,2011-04-02,346.l.49099.t.9,Andrew,7,R
13,-,2011-04-02,346.l.49099.t.9,Andrew,13,RBI
16,-,2011-04-02,346.l.49099.t.9,Andrew,16,SB
23,-,2011-04-02,346.l.49099.t.9,Andrew,23,TB
4,-,2011-04-02,346.l.49099.t.9,Andrew,4,OBP
50,-,2011-04-02,346.l.49099.t.9,Andrew,50,IP
28,-,2011-04-02,346.l.49099.t.9,Andrew,28,W
32,-,2011-04-02,346.l.49099.t.9,Andrew,32,SV
42,-,2011-04-02,346.l.49099.t.9,Andrew,42,K
26,-,2011-04-02,346.l.49099.t.9,Andrew,26,ERA
