stat_id,value,date,team_key
7,3,2013-04-02,308.l.54481.t.5
13,1,2013-04-02,308.l.54481.t.5
16,0,2013-04-02,308.l.54481.t.5
23,3,2013-04-02,308.l.54481.t.5
4,.300,2013-04-02,308.l.54481.t.5
50,8.1,2013-04-02,308.l.54481.t.5
28,0,2013-04-02,308.l.54481.t.5
32,2,2013-04-02,308.l.54481.t.5
42,7,2013-04-02,308.l.54481.t.5
26,1.08,2013-04-02,308.l.54481.t.5
27,1.32,2013-04-02,308.l.54481.t.5
60,6/27,2013-04-02,308.l.54481.t.6
7,2,2013-04-02,308.l.54481.t.6
13,2,2013-04-02,308.l.54481.t.6
16,0,2013-04-02,308.l.54481.t.6
23,10,2013-04-02,308.l.54481.t.6
4,.241,2013-04-02,308.l.54481.t.6
50,7.0,2013-04-02,308.l.54481.t.6
28,1,2013-04-02,308.l.54481.t.6
32,0,2013-04-02,308.l.54481.t.6
42,8,2013-04-02,308.l.54481.t.6
26,1.29,2013-04-02,308.l.54481.t.6
27,0.43,2013-04-02,308.l.54481.t.6
60,7/14,2013-04-02,308.l.54481.t.7
7,5,2013-04-02,308.l.54481.t.7
13,5,2013-04-02,308.l.54481.t.7
16,0,2013-04-02,308.l.54481.t.7
23,15,2013-04-02,308.l.54481.t.7
4,.529,2013-04-02,308.l.54481.t.7
50,1.1,2013-04-02,308.l.54481.t.7
28,0,2013-04-02,308.l.54481.t.7
32,0,2013-04-02,308.l.54481.t.7
42,2,2013-04-02,308.l.54481.t.7
26,0.00,2013-04-02,308.l.54481.t.7
27,0.75,2013-04-02,308.l.54481.t.7
60,4/14,2013-04-02,308.l.54481.t.8
7,3,2013-04-02,308.l.54481.t.8
13,6,2013-04-02,308.l.54481.t.8
16,0,2013-04-02,308.l.54481.t.8
23,14,2013-04-02,308.l.54481.t.8
4,.375,2013-04-02,308.l.54481.t.8
50,19.0,2013-04-02,308.l.54481.t.8
28,1,2013-04-02,308.l.54481.t.8
32,0,2013-04-02,308.l.54481.t.8
42,11,2013-04-02,308.l.54481.t.8
26,3.32,2013-04-02,308.l.54481.t.8
27,1.00,2013-04-02,308.l.54481.t.8
60,2/19,2013-04-02,308.l.54481.t.9
7,2,2013-04-02,308.l.54481.t.9
13,4,2013-04-02,308.l.54481.t.9
16,0,2013-04-02,308.l.54481.t.9
23,6,2013-04-02,308.l.54481.t.9
4,.190,2013-04-02,308.l.54481.t.9
50,6.0,2013-04-02,308.l.54481.t.9
28,0,2013-04-02,308.l.54481.t.9
32,0,2013-04-02,308.l.54481.t.9
42,4,2013-04-02,308.l.54481.t.9
26,3.00,2013-04-02,308.l.54481.t.9
27,1.50,2013-04-02,308.l.54481.t.9
60,8/26,2013-04-02,308.l.54481.t.10
7,5,2013-04-02,308.l.54481.t.10
13,5,2013-04-02,308.l.54481.t.10
16,0,2013-04-02,308.l.54481.t.10
23,18,2013-04-02,308.l.54481.t.10
4,.400,2013-04-02,308.l.54481.t.10
50,2.2,2013-04-02,308.l.54481.t.10
28,0,2013-04-02,308.l.54481.t.10
32,1,2013-04-02,308.l.54481.t.10
42,1,2013-04-02,308.l.54481.t.10
26,3.38,2013-04-02,308.l.54481.t.10
27,1.88,2013-04-02,308.l.54481.t.10
60,9/24,2013-04-02,308.l.54481.t.11
7,5,2013-04-02,308.l.54481.t.11
13,4,2013-04-02,308.l.54481.t.11
16,0,2013-04-02,308.l.54481.t.11
23,18,2013-04-02,308.l.54481.t.11
4,.423,2013-04-02,308.l.54481.t.11
50,6.2,2013-04-02,308.l.54481.t.11
28,0,2013-04-02,308.l.54481.t.11
32,0,2013-04-02,308.l.54481.t.11
42,10,2013-04-02,308.l.54481.t.11
26,12.15,2013-04-02,308.l.54481.t.11
27,2.10,2013-04-02,308.l.54481.t.11
60,9/37,2013-04-03,308.l.54481.t.1
7,8,2013-04-03,308.l.54481.t.1
13,5,2013-04-03,308.l.54481.t.1
16,0,2013-04-03,308.l.54481.t.1
23,17,2013-04-03,308.l.54481.t.1
4,.300,2013-04-03,308.l.54481.t.1
50,3.2,2013-04-03,308.l.54481.t.1
28,0,2013-04-03,308.l.54481.t.1
32,1,2013-04-03,308.l.54481.t.1
42,4,2013-04-03,308.l.54481.t.1
26,7.36,2013-04-03,308.l.54481.t.1
27,1.64,2013-04-03,308.l.54481.t.1
60,9/38,2013-04-03,308.l.54481.t.2
7,5,2013-04-03,308.l.54481.t.2
13,2,2013-04-03,308.l.54481.t.2
16,0,2013-04-03,308.l.54481.t.2
23,15,2013-04-03,308.l.54481.t.2
4,.310,2013-04-03,308.l.54481.t.2
50,1.0,2013-04-03,308.l.54481.t.2
28,0,2013-04-03,308.l.54481.t.2
32,0,2013-04-03,308.l.54481.t.2
42,3,2013-04-03,308.l.54481.t.2
26,0.00,2013-04-03,308.l.54481.t.2
27,0.00,2013-04-03,308.l.54481.t.2
60,10/34,2013-04-03,308.l.54481.t.3
7,5,2013-04-03,308.l.54481.t.3
13,9,2013-04-03,308.l.54481.t.3
16,0,2013-04-03,308.l.54481.t.3
23,17,2013-04-03,308.l.54481.t.3
4,.351,2013-04-03,308.l.54481.t.3
50,20.1,2013-04-03,308.l.54481.t.3
28,1,2013-04-03,308.l.54481.t.3
32,2,2013-04-03,308.l.54481.t.3
42,11,2013-04-03,308.l.54481.t.3
26,3.54,2013-04-03,308.l.54481.t.3
27,1.52,2013-04-03,308.l.54481.t.3
60,10/39,2013-04-03,308.l.54481.t.4
7,3,2013-04-03,308.l.54481.t.4
13,3,2013-04-03,308.l.54481.t.4
16,0,2013-04-03,308.l.54481.t.4
23,17,2013-04-03,308.l.54481.t.4
4,.310,2013-04-03,308.l.54481.t.4
50,2.0,2013-04-03,308.l.54481.t.4
28,0,2013-04-03,308.l.54481.t.4
32,0,2013-04-03,308.l.54481.t.4
42,2,2013-04-03,308.l.54481.t.4
26,4.50,2013-04-03,308.l.54481.t.4
27,1.50,2013-04-03,308.l.54481.t.4
60,17/43,2013-04-03,308.l.54481.t.5
7,7,2013-04-03,308.l.54481.t.5
13,9,2013-04-03,308.l.54481.t.5
16,0,2013-04-03,308.l.54481.t.5
23,31,2013-04-03,308.l.54481.t.5
4,.435,2013-04-03,308.l.54481.t.5
50,8.2,2013-04-03,308.l.54481.t.5
28,1,2013-04-03,308.l.54481.t.5
32,1,2013-04-03,308.l.54481.t.5
42,10,2013-04-03,308.l.54481.t.5
26,3.12,2013-04-03,308.l.54481.t.5
27,0.92,2013-04-03,308.l.54481.t.5
60,5/30,2013-04-03,308.l.54481.t.6
7,4,2013-04-03,308.l.54481.t.6
13,2,2013-04-03,308.l.54481.t.6
16,0,2013-04-03,308.l.54481.t.6
23,7,2013-04-03,308.l.54481.t.6
4,.342,2013-04-03,308.l.54481.t.6
50,25.1,2013-04-03,308.l.54481.t.6
28,2,2013-04-03,308.l.54481.t.6
32,0,2013-04-03,308.l.54481.t.6
42,26,2013-04-03,308.l.54481.t.6
26,1.42,2013-04-03,308.l.54481.t.6
27,0.87,2013-04-03,308.l.54481.t.6
60,9/34,2013-04-03,308.l.54481.t.7
7,4,2013-04-03,308.l.54481.t.7
13,6,2013-04-03,308.l.54481.t.7
16,0,2013-04-03,308.l.54481.t.7
23,12,2013-04-03,308.l.54481.t.7
4,.342,2013-04-03,308.l.54481.t.7
50,7.0,2013-04-03,308.l.54481.t.7
28,0,2013-04-03,308.l.54481.t.7
32,1,2013-04-03,308.l.54481.t.7
42,7,2013-04-03,308.l.54481.t.7
26,3.86,2013-04-03,308.l.54481.t.7
27,1.29,2013-04-03,308.l.54481.t.7
60,7/33,2013-04-03,308.l.54481.t.8
7,2,2013-04-03,308.l.54481.t.8
13,5,2013-04-03,308.l.54481.t.8
16,0,2013-04-03,308.l.54481.t.8
23,12,2013-04-03,308.l.54481.t.8
4,.316,2013-04-03,308.l.54481.t.8
50,8.1,2013-04-03,308.l.54481.t.8
28,2,2013-04-03,308.l.54481.t.8
32,0,2013-04-03,308.l.54481.t.8
42,11,2013-04-03,308.l.54481.t.8
26,1.08,2013-04-03,308.l.54481.t.8
27,0.72,2013-04-03,308.l.54481.t.8
60,8/35,2013-04-03,308.l.54481.t.9
7,4,2013-04-03,308.l.54481.t.9
13,6,2013-04-03,308.l.54481.t.9
16,0,2013-04-03,308.l.54481.t.9
23,16,2013-04-03,308.l.54481.t.9
4,.270,2013-04-03,308.l.54481.t.9
50,6.1,2013-04-03,308.l.54481.t.9
28,1,2013-04-03,308.l.54481.t.9
32,0,2013-04-03,308.l.54481.t.9
42,6,2013-04-03,308.l.54481.t.9
26,1.42,2013-04-03,308.l.54481.t.9
27,0.63,2013-04-03,308.l.54481.t.9
60,11/41,2013-04-03,308.l.54481.t.10
7,6,2013-04-03,308.l.54481.t.10
13,9,2013-04-03,308.l.54481.t.10
16,1,2013-04-03,308.l.54481.t.10
23,21,2013-04-03,308.l.54481.t.10
4,.385,2013-04-03,308.l.54481.t.10
50,14.0,2013-04-03,308.l.54481.t.10
28,1,2013-04-03,308.l.54481.t.10
32,0,2013-04-03,308.l.54481.t.10
42,14,2013-04-03,308.l.54481.t.10
26,2.57,2013-04-03,308.l.54481.t.10
27,1.21,2013-04-03,308.l.54481.t.10
60,8/40,2013-04-03,308.l.54481.t.11
7,4,2013-04-03,308.l.54481.t.11
13,3,2013-04-03,308.l.54481.t.11
16,0,2013-04-03,308.l.54481.t.11
23,9,2013-04-03,308.l.54481.t.11
4,.214,2013-04-03,308.l.54481.t.11
50,15.1,2013-04-03,308.l.54481.t.11
28,0,2013-04-03,308.l.54481.t.11
32,0,2013-04-03,308.l.54481.t.11
42,16,2013-04-03,308.l.54481.t.11
26,9.39,2013-04-03,308.l.54481.t.11
27,1.89,2013-04-03,308.l.54481.t.11
60,7/34,2013-04-04,308.l.54481.t.1
7,3,2013-04-04,308.l.54481.t.1
13,2,2013-04-04,308.l.54481.t.1
16,0,2013-04-04,308.l.54481.t.1
23,13,2013-04-04,308.l.54481.t.1
4,.229,2013-04-04,308.l.54481.t.1
50,11.1,2013-04-04,308.l.54481.t.1
28,0,2013-04-04,308.l.54481.t.1
32,0,2013-04-04,308.l.54481.t.1
42,3,2013-04-04,308.l.54481.t.1
26,7.15,2013-04-04,308.l.54481.t.1
27,1.41,2013-04-04,308.l.54481.t.1
60,13/31,2013-04-04,308.l.54481.t.2
7,7,2013-04-04,308.l.54481.t.2
13,7,2013-04-04,308.l.54481.t.2
16,0,2013-04-04,308.l.54481.t.2
23,21,2013-04-04,308.l.54481.t.2
4,.455,2013-04-04,308.l.54481.t.2
50,6.0,2013-04-04,308.l.54481.t.2
28,0,2013-04-04,308.l.54481.t.2
32,0,2013-04-04,308.l.54481.t.2
42,4,2013-04-04,308.l.54481.t.2
26,3.00,2013-04-04,308.l.54481.t.2
27,1.67,2013-04-04,308.l.54481.t.2
60,5/26,2013-04-04,308.l.54481.t.3
7,1,2013-04-04,308.l.54481.t.3
13,3,2013-04-04,308.l.54481.t.3
16,0,2013-04-04,308.l.54481.t.3
23,9,2013-04-04,308.l.54481.t.3
4,.250,2013-04-04,308.l.54481.t.3
50,1.0,2013-04-04,308.l.54481.t.3
28,0,2013-04-04,308.l.54481.t.3
32,0,2013-04-04,308.l.54481.t.3
42,1,2013-04-04,308.l.54481.t.3
26,0.00,2013-04-04,308.l.54481.t.3
27,0.00,2013-04-04,308.l.54481.t.3
60,3/22,2013-04-04,308.l.54481.t.4
7,6,2013-04-04,308.l.54481.t.4
13,4,2013-04-04,308.l.54481.t.4
16,2,2013-04-04,308.l.54481.t.4
23,9,2013-04-04,308.l.54481.t.4
4,.345,2013-04-04,308.l.54481.t.4
50,8.0,2013-04-04,308.l.54481.t.4
28,1,2013-04-04,308.l.54481.t.4
32,1,2013-04-04,308.l.54481.t.4
42,5,2013-04-04,308.l.54481.t.4
26,1.12,2013-04-04,308.l.54481.t.4
27,1.25,2013-04-04,308.l.54481.t.4
60,5/25,2013-04-04,308.l.54481.t.5
7,2,2013-04-04,308.l.54481.t.5
13,3,2013-04-04,308.l.54481.t.5
16,0,2013-04-04,308.l.54481.t.5
23,6,2013-04-04,308.l.54481.t.5
4,.310,2013-04-04,308.l.54481.t.5
50,10.0,2013-04-04,308.l.54481.t.5
28,1,2013-04-04,308.l.54481.t.5
32,2,2013-04-04,308.l.54481.t.5
42,9,2013-04-04,308.l.54481.t.5
26,0.00,2013-04-04,308.l.54481.t.5
27,0.60,2013-04-04,308.l.54481.t.5
60,2/16,2013-04-04,308.l.54481.t.6
7,2,2013-04-04,308.l.54481.t.6
13,1,2013-04-04,308.l.54481.t.6
16,0,2013-04-04,308.l.54481.t.6
23,2,2013-04-04,308.l.54481.t.6
4,.176,2013-04-04,308.l.54481.t.6
50,8.1,2013-04-04,308.l.54481.t.6
28,0,2013-04-04,308.l.54481.t.6
32,1,2013-04-04,308.l.54481.t.6
42,13,2013-04-04,308.l.54481.t.6
26,4.32,2013-04-04,308.l.54481.t.6
27,1.44,2013-04-04,308.l.54481.t.6
60,9/34,2013-04-04,308.l.54481.t.7
7,2,2013-04-04,308.l.54481.t.7
13,3,2013-04-04,308.l.54481.t.7
16,1,2013-04-04,308.l.54481.t.7
23,12,2013-04-04,308.l.54481.t.7
4,.316,2013-04-04,308.l.54481.t.7
50,2.0,2013-04-04,308.l.54481.t.7
28,0,2013-04-04,308.l.54481.t.7
32,1,2013-04-04,308.l.54481.t.7
42,1,2013-04-04,308.l.54481.t.7
26,9.00,2013-04-04,308.l.54481.t.7
27,3.00,2013-04-04,308.l.54481.t.7
60,6/33,2013-04-04,308.l.54481.t.8
7,4,2013-04-04,308.l.54481.t.8
13,5,2013-04-04,308.l.54481.t.8
16,0,2013-04-04,308.l.54481.t.8
23,13,2013-04-04,308.l.54481.t.8
4,.206,2013-04-04,308.l.54481.t.8
50,7.1,2013-04-04,308.l.54481.t.8
28,0,2013-04-04,308.l.54481.t.8
32,1,2013-04-04,308.l.54481.t.8
42,5,2013-04-04,308.l.54481.t.8
26,1.23,2013-04-04,308.l.54481.t.8
27,0.95,2013-04-04,308.l.54481.t.8
60,12/35,2013-04-04,308.l.54481.t.9
7,4,2013-04-04,308.l.54481.t.9
13,7,2013-04-04,308.l.54481.t.9
16,0,2013-04-04,308.l.54481.t.9
23,20,2013-04-04,308.l.54481.t.9
4,.368,2013-04-04,308.l.54481.t.9
50,1.0,2013-04-04,308.l.54481.t.9
28,0,2013-04-04,308.l.54481.t.9
32,1,2013-04-04,308.l.54481.t.9
42,1,2013-04-04,308.l.54481.t.9
26,9.00,2013-04-04,308.l.54481.t.9
27,1.00,2013-04-04,308.l.54481.t.9
60,5/18,2013-04-04,308.l.54481.t.10
7,1,2013-04-04,308.l.54481.t.10
13,4,2013-04-04,308.l.54481.t.10
16,2,2013-04-04,308.l.54481.t.10
23,9,2013-04-04,308.l.54481.t.10
4,.409,2013-04-04,308.l.54481.t.10
50,2.0,2013-04-04,308.l.54481.t.10
28,0,2013-04-04,308.l.54481.t.10
32,1,2013-04-04,308.l.54481.t.10
42,4,2013-04-04,308.l.54481.t.10
26,0.00,2013-04-04,308.l.54481.t.10
27,0.00,2013-04-04,308.l.54481.t.10
60,9/30,2013-04-04,308.l.54481.t.11
7,7,2013-04-04,308.l.54481.t.11
13,3,2013-04-04,308.l.54481.t.11
16,2,2013-04-04,308.l.54481.t.11
23,13,2013-04-04,308.l.54481.t.11
4,.417,2013-04-04,308.l.54481.t.11
50,1.0,2013-04-04,308.l.54481.t.11
28,0,2013-04-04,308.l.54481.t.11
32,0,2013-04-04,308.l.54481.t.11
42,0,2013-04-04,308.l.54481.t.11
26,0.00,2013-04-04,308.l.54481.t.11
27,0.00,2013-04-04,308.l.54481.t.11
60,9/33,2013-04-05,308.l.54481.t.1
7,5,2013-04-05,308.l.54481.t.1
13,3,2013-04-05,308.l.54481.t.1
16,0,2013-04-05,308.l.54481.t.1
23,17,2013-04-05,308.l.54481.t.1
4,.351,2013-04-05,308.l.54481.t.1
50,2.0,2013-04-05,308.l.54481.t.1
28,0,2013-04-05,308.l.54481.t.1
32,2,2013-04-05,308.l.54481.t.1
42,3,2013-04-05,308.l.54481.t.1
26,0.00,2013-04-05,308.l.54481.t.1
27,0.50,2013-04-05,308.l.54481.t.1
60,9/37,2013-04-05,308.l.54481.t.2
7,6,2013-04-05,308.l.54481.t.2
13,5,2013-04-05,308.l.54481.t.2
16,0,2013-04-05,308.l.54481.t.2
23,18,2013-04-05,308.l.54481.t.2
4,.317,2013-04-05,308.l.54481.t.2
50,2.0,2013-04-05,308.l.54481.t.2
28,0,2013-04-05,308.l.54481.t.2
32,2,2013-04-05,308.l.54481.t.2
42,1,2013-04-05,308.l.54481.t.2
26,4.50,2013-04-05,308.l.54481.t.2
27,2.50,2013-04-05,308.l.54481.t.2
60,8/32,2013-04-05,308.l.54481.t.3
7,5,2013-04-05,308.l.54481.t.3
13,0,2013-04-05,308.l.54481.t.3
16,1,2013-04-05,308.l.54481.t.3
23,11,2013-04-05,308.l.54481.t.3
4,.314,2013-04-05,308.l.54481.t.3
50,2.0,2013-04-05,308.l.54481.t.3
28,0,2013-04-05,308.l.54481.t.3
32,0,2013-04-05,308.l.54481.t.3
42,1,2013-04-05,308.l.54481.t.3
26,0.00,2013-04-05,308.l.54481.t.3
27,1.50,2013-04-05,308.l.54481.t.3
60,11/33,2013-04-05,308.l.54481.t.4
7,3,2013-04-05,308.l.54481.t.4
13,3,2013-04-05,308.l.54481.t.4
16,1,2013-04-05,308.l.54481.t.4
23,16,2013-04-05,308.l.54481.t.4
4,.421,2013-04-05,308.l.54481.t.4
50,10.0,2013-04-05,308.l.54481.t.4
28,1,2013-04-05,308.l.54481.t.4
32,0,2013-04-05,308.l.54481.t.4
42,9,2013-04-05,308.l.54481.t.4
26,9.90,2013-04-05,308.l.54481.t.4
27,2.00,2013-04-05,308.l.54481.t.4
60,11/34,2013-04-05,308.l.54481.t.5
7,8,2013-04-05,308.l.54481.t.5
13,6,2013-04-05,308.l.54481.t.5
16,1,2013-04-05,308.l.54481.t.5
23,22,2013-04-05,308.l.54481.t.5
4,.400,2013-04-05,308.l.54481.t.5
50,7.0,2013-04-05,308.l.54481.t.5
28,0,2013-04-05,308.l.54481.t.5
32,1,2013-04-05,308.l.54481.t.5
42,7,2013-04-05,308.l.54481.t.5
26,3.86,2013-04-05,308.l.54481.t.5
