,0
966,2.24
967,6.96
968,4.41
969,2.78
970,2.49
971,2.39
972,4.23
973,2.04
974,1.15
975,3.55
976,5.22
977,
978,2.04
979,4.11
980,4.92
981,2.78
982,
983,2.36
984,5.73
985,5.54
986,4.44
987,3.2
988,
989,6.2
990,2.95
991,
992,4.91
993,3.41
994,4.74
995,2.78
996,2.36
997,2.11
998,5.87
999,
1000,2.78
1001,2.45
1002,3.66
1003,5.89
1004,3.8
1005,4.84
1006,
1007,6.96
1008,
1009,1.99
1010,3.98
1011,2.88
1012,9.03
1013,2.25
1014,2.65
1015,2.59
1016,1.81
1017,3.2
1018,4.33
1019,5.2
1020,8.7
1021,5.85
1022,1.94
1023,5.24
1024,2.36
1025,4.39
1026,2.04
1027,2.11
1028,1.81
1029,3.1
1030,2.62
1031,
1032,2.92
1033,2.15
1034,
1035,3.09
1036,3.57
1037,5.7
1038,5.32
1039,
1040,2.48
1041,3.85
1042,3.16
1043,
1044,1.41
1045,2.36
1046,5.48
1047,2.78
1048,2.78
1049,5.51
1050,
1051,3.16
1052,2.09
1053,1.99
1054,1.25
1055,2.78
1056,7.82
1057,2.04
1058,2.95
1059,2.04
1060,1.25
1061,4.14
1062,9.55
1063,1.08
1064,2.36
1065,3.16
1066,8.85
1067,5.32
1068,2.04
1069,4.66
1070,4.14
1071,4.58
1072,
1073,2.82
1074,4.8
1075,
1076,3.57
1077,4.76
1078,2.15
1079,
1080,4.76
1081,
1082,
1083,
1084,2.36
1085,4.41
1086,4.33
1087,2.78
1088,2.36
1089,2.8
1090,
1091,
1092,4.68
1093,2.62
1094,
1095,3.58
1096,4.84
1097,2.04
1098,3.45
1099,2.66
1100,4.81
1101,5.49
1102,3.71
1103,1.94
1104,4.8
1105,3.49
1106,5.47
1107,
1108,1.99
1109,1.7
1110,
1111,3.3
1112,
1113,2.78
1114,3.79
1115,3.1
1116,2.17
1117,
1118,3.04
1119,
1120,3.88
1121,2.66
1122,1.9
1123,2.78
1124,6.44
1125,2.14
1126,1.7
1127,5.29
1128,2.31
1129,4.39
1130,2.78
1131,2.78
1132,3.21
1133,4.61
1134,1.38
1135,
1136,2.04
1137,1.81
1138,3.66
1139,2.59
1140,2.85
1141,5.77
1142,3.38
1143,2.78
1144,
1145,2.6
1146,
1147,2.92
1148,2.64
1149,3.8
1150,2.78
1151,2.78
1152,3.66
1153,3.85
1154,3.16
1155,2.23
1156,6.44
1157,3.77
1158,2.39
1159,2.45
1160,4.66
1161,1.25
1162,1.55
1163,3.8
1164,1.75
1165,4.39
1166,4.11
1167,8.75
1168,2.36
1169,4.11
1170,8.7
1171,2.66
1172,2.04
1173,2.78
1174,2.22
