"","team_key","date","stat_id","IP","year","stat_name","IP_round","ERA","run_per_inning","run_per_out","true_ERA"
"87","346.l.49099.t.3",16537,50,10,2015,"IP",10,6.3,0.7,0.233333333333333,1.62
"88","346.l.49099.t.4",16537,50,6.667,2015,"IP",7,4.05,0.45,0.15,1.62
"89","346.l.49099.t.5",16537,50,8.333,2015,"IP",9,7.56,0.84,0.28,1.62
"90","346.l.49099.t.6",16537,50,2.667,2015,"IP",3,3.38,0.375555555555556,0.125185185185185,1.62
"91","346.l.49099.t.7",16537,50,15.667,2015,"IP",16,8.62,0.957777777777778,0.319259259259259,1.62
"92","346.l.49099.t.8",16537,50,17.667,2015,"IP",18,6.11,0.678888888888889,0.226296296296296,1.62
"93","346.l.49099.t.9",16537,50,8,2015,"IP",8,7.88,0.875555555555556,0.291851851851852,1.62
"94","346.l.49099.t.10",16537,50,2,2015,"IP",2,0,0,0,1.62
"95","346.l.49099.t.11",16537,50,7.333,2015,"IP",8,2.45,0.272222222222222,0.0907407407407407,1.62
"96","346.l.49099.t.12",16537,50,NA,2015,"IP",22,4.15,0.461111111111111,0.153703703703704,1.62
"97","346.l.49099.t.1",16538,50,5.333,2015,"IP",6,11.81,1.31222222222222,0.437407407407407,1.62
"98","346.l.49099.t.2",16538,50,NA,2015,"IP",22,2.95,0.327777777777778,0.109259259259259,1.62
"99","346.l.49099.t.3",16538,50,NA,2015,"IP",13,4.26,0.473333333333333,0.157777777777778,1.62
"100","346.l.49099.t.4",16538,50,1,2015,"IP",1,0,0,0,1.62
"101","346.l.49099.t.5",16538,50,9.667,2015,"IP",10,0.93,0.103333333333333,0.0344444444444444,1.62
"102","346.l.49099.t.6",16538,50,7,2015,"IP",7,0,0,0,1.62
"103","346.l.49099.t.7",16538,50,13,2015,"IP",13,3.46,0.384444444444444,0.128148148148148,1.62
"104","346.l.49099.t.8",16538,50,14,2015,"IP",14,2.57,0.285555555555556,0.0951851851851852,1.62
"105","346.l.49099.t.9",16538,50,NA,2015,"IP",23,7.25,0.805555555555556,0.268518518518519,1.62
"106","346.l.49099.t.10",16538,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"107","346.l.49099.t.11",16538,50,15.333,2015,"IP",16,0.59,0.0655555555555555,0.0218518518518519,1.62
"108","346.l.49099.t.12",16538,50,8,2015,"IP",8,7.88,0.875555555555556,0.291851851851852,1.62
"109","346.l.49099.t.1",16539,50,NA,2015,"IP",12,0.79,0.0877777777777778,0.0292592592592593,1.62
"110","346.l.49099.t.2",16539,50,6.333,2015,"IP",7,1.42,0.157777777777778,0.0525925925925926,1.62
"111","346.l.49099.t.3",16539,50,1,2015,"IP",1,18,2,0.666666666666667,1.62
"112","346.l.49099.t.4",16539,50,8,2015,"IP",8,4.5,0.5,0.166666666666667,1.62
"113","346.l.49099.t.5",16539,50,9.333,2015,"IP",10,0.96,0.106666666666667,0.0355555555555556,1.62
"114","346.l.49099.t.6",16539,50,8.667,2015,"IP",9,1.04,0.115555555555556,0.0385185185185185,1.62
"115","346.l.49099.t.7",16539,50,8.667,2015,"IP",9,3.12,0.346666666666667,0.115555555555556,1.62
"116","346.l.49099.t.8",16539,50,8.667,2015,"IP",9,1.04,0.115555555555556,0.0385185185185185,1.62
"117","346.l.49099.t.9",16539,50,0.333,2015,"IP",1,54,6,2,1.62
"118","346.l.49099.t.10",16539,50,6.333,2015,"IP",7,7.11,0.79,0.263333333333333,1.62
"119","346.l.49099.t.11",16539,50,NA,2015,"IP",NA,NA,NA,NA,1.62
"120","346.l.49099.t.12",16539,50,7.667,2015,"IP",8,4.7,0.522222222222222,0.174074074074074,1.62
"121","346.l.49099.t.1",16540,50,0.667,2015,"IP",1,0,0,0,1.62
"122","346.l.49099.t.2",16540,50,1,2015,"IP",1,0,0,0,1.62
"123","346.l.49099.t.3",16540,50,6.667,2015,"IP",7,1.35,0.15,0.05,1.62
"124","346.l.49099.t.4",16540,50,7,2015,"IP",7,5.14,0.571111111111111,0.19037037037037,1.62
